src_type	src	dest_type	dest	direction	type
ENTREZID	2255	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2255	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2255	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8823	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8823	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8823	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8822	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8822	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8822	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8822	ENTREZID	2263	undirected	Binding
ENTREZID	8817	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8817	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8817	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2246	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2246	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2246	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2246	ENTREZID	2263	undirected	Binding
ENTREZID	2249	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2249	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2249	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2249	ENTREZID	2263	undirected	Binding
ENTREZID	2247	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2247	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2247	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2247	ENTREZID	2263	undirected	Binding
ENTREZID	2251	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2251	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2251	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2251	ENTREZID	2263	undirected	Binding
ENTREZID	2248	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2248	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2248	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2250	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2250	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2250	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2250	ENTREZID	2263	undirected	Binding
ENTREZID	2252	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2252	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2252	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2263	ENTREZID	2255	undirected	Binding
ENTREZID	2263	ENTREZID	8823	undirected	Binding
ENTREZID	2263	ENTREZID	8817	undirected	Binding
ENTREZID	2263	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2263	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2263	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2263	ENTREZID	2248	undirected	Binding
ENTREZID	2263	ENTREZID	2252	undirected	Binding
ENTREZID	2263	ENTREZID	27006	undirected	Binding
ENTREZID	6464	ENTREZID	2255	undirected	Binding
ENTREZID	6464	ENTREZID	8823	undirected	Binding
ENTREZID	6464	ENTREZID	8822	undirected	Binding
ENTREZID	6464	ENTREZID	8817	undirected	Binding
ENTREZID	6464	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6464	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6464	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6464	ENTREZID	2246	undirected	Binding
ENTREZID	6464	ENTREZID	2249	undirected	Binding
ENTREZID	6464	ENTREZID	2247	undirected	Binding
ENTREZID	6464	ENTREZID	2251	undirected	Binding
ENTREZID	6464	ENTREZID	2248	undirected	Binding
ENTREZID	6464	ENTREZID	2250	undirected	Binding
ENTREZID	6464	ENTREZID	2252	undirected	Binding
ENTREZID	6464	ENTREZID	2263	undirected	Binding
ENTREZID	6464	ENTREZID	2254	undirected	Binding
ENTREZID	6464	ENTREZID	2253	undirected	Binding
ENTREZID	6464	ENTREZID	8074	undirected	Binding
ENTREZID	6464	ENTREZID	27006	undirected	Binding
ENTREZID	6464	ENTREZID	26281	undirected	Binding
ENTREZID	2254	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2254	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2254	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2254	ENTREZID	2263	undirected	Binding
ENTREZID	2253	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2253	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2253	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2253	ENTREZID	2263	undirected	Binding
ENTREZID	2885	ENTREZID	2255	undirected	Binding
ENTREZID	2885	ENTREZID	8823	undirected	Binding
ENTREZID	2885	ENTREZID	8822	undirected	Binding
ENTREZID	2885	ENTREZID	8817	undirected	Binding
ENTREZID	2885	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2885	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2885	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	2885	ENTREZID	2246	undirected	Binding
ENTREZID	2885	ENTREZID	2249	undirected	Binding
ENTREZID	2885	ENTREZID	2247	undirected	Binding
ENTREZID	2885	ENTREZID	2251	undirected	Binding
ENTREZID	2885	ENTREZID	2248	undirected	Binding
ENTREZID	2885	ENTREZID	2250	undirected	Binding
ENTREZID	2885	ENTREZID	2252	undirected	Binding
ENTREZID	2885	ENTREZID	2263	undirected	Binding
ENTREZID	2885	ENTREZID	6464	undirected	Binding
ENTREZID	2885	ENTREZID	2254	undirected	Binding
ENTREZID	2885	ENTREZID	2253	undirected	Binding
ENTREZID	2885	ENTREZID	6654	undirected	Binding
ENTREZID	2885	ENTREZID	8074	undirected	Binding
ENTREZID	2885	ENTREZID	27006	undirected	Binding
ENTREZID	2885	ENTREZID	26281	undirected	Binding
ENTREZID	6654	ENTREZID	2255	undirected	Binding
ENTREZID	6654	ENTREZID	8823	undirected	Binding
ENTREZID	6654	ENTREZID	8822	undirected	Binding
ENTREZID	6654	ENTREZID	8817	undirected	Binding
ENTREZID	6654	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6654	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6654	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6654	ENTREZID	2246	undirected	Binding
ENTREZID	6654	ENTREZID	2249	undirected	Binding
ENTREZID	6654	ENTREZID	2247	undirected	Binding
ENTREZID	6654	ENTREZID	2251	undirected	Binding
ENTREZID	6654	ENTREZID	2248	undirected	Binding
ENTREZID	6654	ENTREZID	2250	undirected	Binding
ENTREZID	6654	ENTREZID	2252	undirected	Binding
ENTREZID	6654	ENTREZID	2263	undirected	Binding
ENTREZID	6654	ENTREZID	6464	undirected	Binding
ENTREZID	6654	ENTREZID	2254	undirected	Binding
ENTREZID	6654	ENTREZID	2253	undirected	Binding
ENTREZID	6654	ENTREZID	8074	undirected	Binding
ENTREZID	6654	ENTREZID	27006	undirected	Binding
ENTREZID	6654	ENTREZID	26281	undirected	Binding
ENTREZID	8074	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8074	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8074	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8074	ENTREZID	2263	undirected	Binding
ENTREZID	27006	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	27006	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	27006	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	26281	ENTREZID	4893	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	26281	ENTREZID	3265	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	26281	ENTREZID	3845	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	26281	ENTREZID	2263	undirected	Binding
