src_type	src	dest_type	dest	direction	type
ENTREZID	3775	ENTREZID	3761	directed	Control(indirect)
ENTREZID	3775	ENTREZID	3759	directed	Control(indirect)
ENTREZID	3775	ENTREZID	3768	directed	Control(indirect)
ENTREZID	3775	ENTREZID	3770	directed	Control(indirect)
ENTREZID	3777	ENTREZID	3761	directed	Control(indirect)
ENTREZID	3777	ENTREZID	3759	directed	Control(indirect)
ENTREZID	3777	ENTREZID	3768	directed	Control(indirect)
ENTREZID	3777	ENTREZID	3770	directed	Control(indirect)
ENTREZID	3776	ENTREZID	3761	directed	Control(indirect)
ENTREZID	3776	ENTREZID	3759	directed	Control(indirect)
ENTREZID	3776	ENTREZID	3768	directed	Control(indirect)
ENTREZID	3776	ENTREZID	3770	directed	Control(indirect)
ENTREZID	8645	ENTREZID	3761	directed	Control(indirect)
ENTREZID	8645	ENTREZID	3759	directed	Control(indirect)
ENTREZID	8645	ENTREZID	3768	directed	Control(indirect)
ENTREZID	8645	ENTREZID	3770	directed	Control(indirect)
ENTREZID	3761	ENTREZID	3775	directed	Control(indirect)
ENTREZID	3761	ENTREZID	3777	directed	Control(indirect)
ENTREZID	3761	ENTREZID	3776	directed	Control(indirect)
ENTREZID	3761	ENTREZID	8645	directed	Control(indirect)
ENTREZID	3761	ENTREZID	54207	directed	Control(indirect)
ENTREZID	3761	ENTREZID	338567	directed	Control(indirect)
ENTREZID	3761	ENTREZID	89822	directed	Control(indirect)
ENTREZID	3761	ENTREZID	83795	directed	Control(indirect)
ENTREZID	3761	ENTREZID	60598	directed	Control(indirect)
ENTREZID	3761	ENTREZID	56659	directed	Control(indirect)
ENTREZID	3761	ENTREZID	56660	directed	Control(indirect)
ENTREZID	3761	ENTREZID	51305	directed	Control(indirect)
ENTREZID	3761	ENTREZID	50801	directed	Control(indirect)
ENTREZID	3761	ENTREZID	9424	directed	Control(indirect)
ENTREZID	3761	ENTREZID	10089	directed	Control(indirect)
ENTREZID	54207	ENTREZID	3761	directed	Control(indirect)
ENTREZID	54207	ENTREZID	3759	directed	Control(indirect)
ENTREZID	54207	ENTREZID	3768	directed	Control(indirect)
ENTREZID	54207	ENTREZID	3770	directed	Control(indirect)
ENTREZID	3759	ENTREZID	3775	directed	Control(indirect)
ENTREZID	3759	ENTREZID	3777	directed	Control(indirect)
ENTREZID	3759	ENTREZID	3776	directed	Control(indirect)
ENTREZID	3759	ENTREZID	8645	directed	Control(indirect)
ENTREZID	3759	ENTREZID	54207	directed	Control(indirect)
ENTREZID	3759	ENTREZID	338567	directed	Control(indirect)
ENTREZID	3759	ENTREZID	89822	directed	Control(indirect)
ENTREZID	3759	ENTREZID	83795	directed	Control(indirect)
ENTREZID	3759	ENTREZID	60598	directed	Control(indirect)
ENTREZID	3759	ENTREZID	56659	directed	Control(indirect)
ENTREZID	3759	ENTREZID	56660	directed	Control(indirect)
ENTREZID	3759	ENTREZID	51305	directed	Control(indirect)
ENTREZID	3759	ENTREZID	50801	directed	Control(indirect)
ENTREZID	3759	ENTREZID	9424	directed	Control(indirect)
ENTREZID	3759	ENTREZID	10089	directed	Control(indirect)
ENTREZID	3768	ENTREZID	3775	directed	Control(indirect)
ENTREZID	3768	ENTREZID	3777	directed	Control(indirect)
ENTREZID	3768	ENTREZID	3776	directed	Control(indirect)
ENTREZID	3768	ENTREZID	8645	directed	Control(indirect)
ENTREZID	3768	ENTREZID	54207	directed	Control(indirect)
ENTREZID	3768	ENTREZID	338567	directed	Control(indirect)
ENTREZID	3768	ENTREZID	89822	directed	Control(indirect)
ENTREZID	3768	ENTREZID	83795	directed	Control(indirect)
ENTREZID	3768	ENTREZID	60598	directed	Control(indirect)
ENTREZID	3768	ENTREZID	56659	directed	Control(indirect)
ENTREZID	3768	ENTREZID	56660	directed	Control(indirect)
ENTREZID	3768	ENTREZID	51305	directed	Control(indirect)
ENTREZID	3768	ENTREZID	50801	directed	Control(indirect)
ENTREZID	3768	ENTREZID	9424	directed	Control(indirect)
ENTREZID	3768	ENTREZID	10089	directed	Control(indirect)
ENTREZID	338567	ENTREZID	3761	directed	Control(indirect)
ENTREZID	338567	ENTREZID	3759	directed	Control(indirect)
ENTREZID	338567	ENTREZID	3768	directed	Control(indirect)
ENTREZID	338567	ENTREZID	3770	directed	Control(indirect)
ENTREZID	89822	ENTREZID	3761	directed	Control(indirect)
ENTREZID	89822	ENTREZID	3759	directed	Control(indirect)
ENTREZID	89822	ENTREZID	3768	directed	Control(indirect)
ENTREZID	89822	ENTREZID	3770	directed	Control(indirect)
ENTREZID	83795	ENTREZID	3761	directed	Control(indirect)
ENTREZID	83795	ENTREZID	3759	directed	Control(indirect)
ENTREZID	83795	ENTREZID	3768	directed	Control(indirect)
ENTREZID	83795	ENTREZID	3770	directed	Control(indirect)
ENTREZID	60598	ENTREZID	3761	directed	Control(indirect)
ENTREZID	60598	ENTREZID	3759	directed	Control(indirect)
ENTREZID	60598	ENTREZID	3768	directed	Control(indirect)
ENTREZID	60598	ENTREZID	3770	directed	Control(indirect)
ENTREZID	56659	ENTREZID	3761	directed	Control(indirect)
ENTREZID	56659	ENTREZID	3759	directed	Control(indirect)
ENTREZID	56659	ENTREZID	3768	directed	Control(indirect)
ENTREZID	56659	ENTREZID	3770	directed	Control(indirect)
ENTREZID	56660	ENTREZID	3761	directed	Control(indirect)
ENTREZID	56660	ENTREZID	3759	directed	Control(indirect)
ENTREZID	56660	ENTREZID	3768	directed	Control(indirect)
ENTREZID	56660	ENTREZID	3770	directed	Control(indirect)
ENTREZID	51305	ENTREZID	3761	directed	Control(indirect)
ENTREZID	51305	ENTREZID	3759	directed	Control(indirect)
ENTREZID	51305	ENTREZID	3768	directed	Control(indirect)
ENTREZID	51305	ENTREZID	3770	directed	Control(indirect)
ENTREZID	50801	ENTREZID	3761	directed	Control(indirect)
ENTREZID	50801	ENTREZID	3759	directed	Control(indirect)
ENTREZID	50801	ENTREZID	3768	directed	Control(indirect)
ENTREZID	50801	ENTREZID	3770	directed	Control(indirect)
ENTREZID	3770	ENTREZID	3775	directed	Control(indirect)
ENTREZID	3770	ENTREZID	3777	directed	Control(indirect)
ENTREZID	3770	ENTREZID	3776	directed	Control(indirect)
ENTREZID	3770	ENTREZID	8645	directed	Control(indirect)
ENTREZID	3770	ENTREZID	54207	directed	Control(indirect)
ENTREZID	3770	ENTREZID	338567	directed	Control(indirect)
ENTREZID	3770	ENTREZID	89822	directed	Control(indirect)
ENTREZID	3770	ENTREZID	83795	directed	Control(indirect)
ENTREZID	3770	ENTREZID	60598	directed	Control(indirect)
ENTREZID	3770	ENTREZID	56659	directed	Control(indirect)
ENTREZID	3770	ENTREZID	56660	directed	Control(indirect)
ENTREZID	3770	ENTREZID	51305	directed	Control(indirect)
ENTREZID	3770	ENTREZID	50801	directed	Control(indirect)
ENTREZID	3770	ENTREZID	9424	directed	Control(indirect)
ENTREZID	3770	ENTREZID	10089	directed	Control(indirect)
ENTREZID	9424	ENTREZID	3761	directed	Control(indirect)
ENTREZID	9424	ENTREZID	3759	directed	Control(indirect)
ENTREZID	9424	ENTREZID	3768	directed	Control(indirect)
ENTREZID	9424	ENTREZID	3770	directed	Control(indirect)
ENTREZID	10089	ENTREZID	3761	directed	Control(indirect)
ENTREZID	10089	ENTREZID	3759	directed	Control(indirect)
ENTREZID	10089	ENTREZID	3768	directed	Control(indirect)
ENTREZID	10089	ENTREZID	3770	directed	Control(indirect)
