src_type	src	dest_type	dest	direction	type
ENTREZID	9723	ENTREZID	23129	undirected	Binding
ENTREZID	5362	ENTREZID	57556	undirected	Binding
ENTREZID	8482	ENTREZID	10154	undirected	Binding
ENTREZID	8482	ENTREZID	3688	undirected	Binding
ENTREZID	8482	ENTREZID	3672	undirected	Binding
ENTREZID	3688	ENTREZID	3672	undirected	Binding
ENTREZID	80031	ENTREZID	7305	undirected	Binding
ENTREZID	80031	ENTREZID	54209	undirected	Binding
ENTREZID	80031	ENTREZID	5361	undirected	Binding
ENTREZID	10507	ENTREZID	5788	undirected	Binding
ENTREZID	10507	ENTREZID	971	undirected	Binding
ENTREZID	57556	ENTREZID	91584	undirected	Binding
ENTREZID	64218	ENTREZID	23129	undirected	Binding
ENTREZID	54209	ENTREZID	7305	undirected	Binding
ENTREZID	54209	ENTREZID	5361	undirected	Binding
ENTREZID	5361	ENTREZID	7305	undirected	Binding
ENTREZID	5365	ENTREZID	9037	undirected	Binding
