src_type	src	dest_type	dest	direction	type
ENTREZID	5001	ENTREZID	5000	undirected	Binding
ENTREZID	5001	ENTREZID	4998	undirected	Binding
ENTREZID	5001	ENTREZID	84515	undirected	Binding
ENTREZID	5001	ENTREZID	23594	undirected	Binding
ENTREZID	5000	ENTREZID	4998	undirected	Binding
ENTREZID	5000	ENTREZID	84515	undirected	Binding
ENTREZID	5000	ENTREZID	23594	undirected	Binding
ENTREZID	983	ENTREZID	5001	undirected	Binding
ENTREZID	983	ENTREZID	5000	undirected	Binding
ENTREZID	983	ENTREZID	4998	undirected	Binding
ENTREZID	983	ENTREZID	4999	undirected	Binding
ENTREZID	983	ENTREZID	23595	undirected	Binding
ENTREZID	983	ENTREZID	84515	undirected	Binding
ENTREZID	983	ENTREZID	23594	undirected	Binding
ENTREZID	891	ENTREZID	5001	undirected	Binding
ENTREZID	891	ENTREZID	5000	undirected	Binding
ENTREZID	891	ENTREZID	983	undirected	Binding
ENTREZID	891	ENTREZID	4998	undirected	Binding
ENTREZID	891	ENTREZID	4999	undirected	Binding
ENTREZID	891	ENTREZID	23595	undirected	Binding
ENTREZID	891	ENTREZID	84515	undirected	Binding
ENTREZID	891	ENTREZID	23594	undirected	Binding
ENTREZID	4998	ENTREZID	84515	undirected	Binding
ENTREZID	4998	ENTREZID	23594	undirected	Binding
ENTREZID	4999	ENTREZID	5001	undirected	Binding
ENTREZID	4999	ENTREZID	5000	undirected	Binding
ENTREZID	4999	ENTREZID	4998	undirected	Binding
ENTREZID	4999	ENTREZID	23595	undirected	Binding
ENTREZID	4999	ENTREZID	84515	undirected	Binding
ENTREZID	4999	ENTREZID	23594	undirected	Binding
ENTREZID	23595	ENTREZID	5001	undirected	Binding
ENTREZID	23595	ENTREZID	5000	undirected	Binding
ENTREZID	23595	ENTREZID	4998	undirected	Binding
ENTREZID	23595	ENTREZID	84515	undirected	Binding
ENTREZID	23595	ENTREZID	23594	undirected	Binding
ENTREZID	23594	ENTREZID	84515	undirected	Binding
