src_type	src	dest_type	dest	direction	type
ENTREZID	481	ENTREZID	482	undirected	Binding
ENTREZID	481	ENTREZID	483	undirected	Binding
ENTREZID	3688	ENTREZID	3655	undirected	Binding
ENTREZID	3688	ENTREZID	3675	undirected	Binding
ENTREZID	6520	ENTREZID	682	undirected	Binding
ENTREZID	6520	ENTREZID	11136	undirected	Binding
ENTREZID	6520	ENTREZID	8140	undirected	Binding
ENTREZID	6520	ENTREZID	9057	undirected	Binding
ENTREZID	6520	ENTREZID	56301	undirected	Binding
ENTREZID	6520	ENTREZID	23428	undirected	Binding
ENTREZID	6520	ENTREZID	9056	undirected	Binding
ENTREZID	6520	ENTREZID	23657	undirected	Binding
ENTREZID	482	ENTREZID	483	undirected	Binding
ENTREZID	682	ENTREZID	9123	undirected	Binding
ENTREZID	682	ENTREZID	23539	undirected	Binding
ENTREZID	682	ENTREZID	4312	undirected	Binding
ENTREZID	682	ENTREZID	481	undirected	Binding
ENTREZID	682	ENTREZID	3688	undirected	Binding
ENTREZID	682	ENTREZID	482	undirected	Binding
ENTREZID	682	ENTREZID	6693	undirected	Binding
ENTREZID	682	ENTREZID	4099	undirected	Binding
ENTREZID	682	ENTREZID	3655	undirected	Binding
ENTREZID	682	ENTREZID	3675	undirected	Binding
ENTREZID	682	ENTREZID	3897	undirected	Binding
ENTREZID	682	ENTREZID	6566	undirected	Binding
ENTREZID	682	ENTREZID	483	undirected	Binding
ENTREZID	682	ENTREZID	5478	undirected	Binding
ENTREZID	682	ENTREZID	23759	undirected	Binding
ENTREZID	11136	ENTREZID	682	undirected	Binding
ENTREZID	8140	ENTREZID	682	undirected	Binding
ENTREZID	857	ENTREZID	682	undirected	Binding
ENTREZID	9057	ENTREZID	682	undirected	Binding
ENTREZID	56301	ENTREZID	682	undirected	Binding
ENTREZID	23428	ENTREZID	682	undirected	Binding
ENTREZID	9056	ENTREZID	682	undirected	Binding
ENTREZID	23657	ENTREZID	682	undirected	Binding
