src_type	src	dest_type	dest	direction	type
ENTREZID	861	ENTREZID	1437	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	861	ENTREZID	5579	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	861	ENTREZID	3958	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	861	ENTREZID	1387	undirected	Binding
ENTREZID	860	ENTREZID	3958	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	860	ENTREZID	865	undirected	Binding
ENTREZID	865	ENTREZID	1437	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	865	ENTREZID	5579	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	865	ENTREZID	3958	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	865	ENTREZID	861	undirected	Binding
ENTREZID	865	ENTREZID	1387	undirected	Binding
ENTREZID	1387	ENTREZID	1437	directed	Control(Out: ACTIVATION of BiochemicalReaction)
