src_type	src	dest_type	dest	direction	type
ENTREZID	6932	ENTREZID	7088	undirected	Binding
ENTREZID	6932	ENTREZID	7089	undirected	Binding
ENTREZID	6932	ENTREZID	7090	undirected	Binding
ENTREZID	6932	ENTREZID	7091	undirected	Binding
ENTREZID	6932	ENTREZID	3065	undirected	Binding
ENTREZID	7088	ENTREZID	166	undirected	Binding
ENTREZID	7089	ENTREZID	166	undirected	Binding
ENTREZID	7090	ENTREZID	166	undirected	Binding
ENTREZID	7091	ENTREZID	166	undirected	Binding
ENTREZID	3065	ENTREZID	7088	undirected	Binding
ENTREZID	3065	ENTREZID	7089	undirected	Binding
ENTREZID	3065	ENTREZID	7090	undirected	Binding
ENTREZID	3065	ENTREZID	7091	undirected	Binding
ENTREZID	83439	ENTREZID	1488	undirected	Binding
ENTREZID	83439	ENTREZID	7088	undirected	Binding
ENTREZID	83439	ENTREZID	7089	undirected	Binding
ENTREZID	83439	ENTREZID	7090	undirected	Binding
ENTREZID	83439	ENTREZID	7091	undirected	Binding
ENTREZID	83439	ENTREZID	1487	undirected	Binding
ENTREZID	83439	ENTREZID	3065	undirected	Binding
ENTREZID	6934	ENTREZID	1488	undirected	Binding
ENTREZID	6934	ENTREZID	7088	undirected	Binding
ENTREZID	6934	ENTREZID	7089	undirected	Binding
ENTREZID	6934	ENTREZID	7090	undirected	Binding
ENTREZID	6934	ENTREZID	7091	undirected	Binding
ENTREZID	6934	ENTREZID	1487	undirected	Binding
ENTREZID	6934	ENTREZID	3065	undirected	Binding
ENTREZID	51176	ENTREZID	7088	undirected	Binding
ENTREZID	51176	ENTREZID	7089	undirected	Binding
ENTREZID	51176	ENTREZID	7090	undirected	Binding
ENTREZID	51176	ENTREZID	7091	undirected	Binding
ENTREZID	51176	ENTREZID	3065	undirected	Binding
