src_type	src	dest_type	dest	direction	type
ENTREZID	164	ENTREZID	8905	undirected	Binding
ENTREZID	164	ENTREZID	1174	undirected	Binding
ENTREZID	164	ENTREZID	130340	undirected	Binding
ENTREZID	164	ENTREZID	8907	undirected	Binding
ENTREZID	164	ENTREZID	10053	undirected	Binding
ENTREZID	567	ENTREZID	164	directed	Process(BiochemicalReaction)
ENTREZID	567	ENTREZID	164	undirected	Binding
ENTREZID	567	ENTREZID	8905	directed	Process(BiochemicalReaction)
ENTREZID	567	ENTREZID	8905	undirected	Binding
ENTREZID	567	ENTREZID	1174	directed	Process(BiochemicalReaction)
ENTREZID	567	ENTREZID	1174	undirected	Binding
ENTREZID	567	ENTREZID	162	directed	Process(BiochemicalReaction)
ENTREZID	567	ENTREZID	162	undirected	Binding
ENTREZID	567	ENTREZID	55690	directed	Process(BiochemicalReaction)
ENTREZID	567	ENTREZID	55690	undirected	Binding
ENTREZID	567	ENTREZID	130340	directed	Process(BiochemicalReaction)
ENTREZID	567	ENTREZID	130340	undirected	Binding
ENTREZID	567	ENTREZID	8907	directed	Process(BiochemicalReaction)
ENTREZID	567	ENTREZID	8907	undirected	Binding
ENTREZID	567	ENTREZID	10053	directed	Process(BiochemicalReaction)
ENTREZID	567	ENTREZID	10053	undirected	Binding
ENTREZID	162	ENTREZID	164	undirected	Binding
ENTREZID	162	ENTREZID	8905	undirected	Binding
ENTREZID	162	ENTREZID	1174	undirected	Binding
ENTREZID	162	ENTREZID	130340	undirected	Binding
ENTREZID	162	ENTREZID	8907	undirected	Binding
ENTREZID	162	ENTREZID	10053	undirected	Binding
ENTREZID	55690	ENTREZID	164	undirected	Binding
ENTREZID	55690	ENTREZID	8905	undirected	Binding
ENTREZID	55690	ENTREZID	1174	undirected	Binding
ENTREZID	55690	ENTREZID	162	undirected	Binding
ENTREZID	55690	ENTREZID	130340	undirected	Binding
ENTREZID	55690	ENTREZID	8907	undirected	Binding
ENTREZID	55690	ENTREZID	10053	undirected	Binding
ENTREZID	8907	ENTREZID	8905	undirected	Binding
ENTREZID	8907	ENTREZID	1174	undirected	Binding
ENTREZID	8907	ENTREZID	130340	undirected	Binding
ENTREZID	10053	ENTREZID	8905	undirected	Binding
ENTREZID	10053	ENTREZID	1174	undirected	Binding
ENTREZID	10053	ENTREZID	130340	undirected	Binding
