src_type	src	dest_type	dest	direction	type
ENTREZID	5566	ENTREZID	5207	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5568	ENTREZID	5207	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5567	ENTREZID	5207	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5518	ENTREZID	5207	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5518	ENTREZID	5516	undirected	Binding
ENTREZID	5518	ENTREZID	5515	undirected	Binding
ENTREZID	5518	ENTREZID	5528	undirected	Binding
ENTREZID	5519	ENTREZID	5207	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5519	ENTREZID	5516	undirected	Binding
ENTREZID	5519	ENTREZID	5515	undirected	Binding
ENTREZID	5519	ENTREZID	5528	undirected	Binding
ENTREZID	5516	ENTREZID	5207	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5516	ENTREZID	5528	undirected	Binding
ENTREZID	5515	ENTREZID	5207	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5515	ENTREZID	5528	undirected	Binding
ENTREZID	5528	ENTREZID	5207	directed	Control(Out: ACTIVATION of BiochemicalReaction)
