src_type	src	dest_type	dest	direction	type
ENTREZID	9901	ENTREZID	998	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	23380	ENTREZID	998	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	9353	ENTREZID	9901	undirected	Binding
ENTREZID	9353	ENTREZID	23380	undirected	Binding
ENTREZID	9353	ENTREZID	998	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	9353	ENTREZID	5879	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	9353	ENTREZID	57522	undirected	Binding
ENTREZID	9353	ENTREZID	80728	undirected	Binding
ENTREZID	998	ENTREZID	9901	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	998	ENTREZID	23380	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	998	ENTREZID	9353	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	998	ENTREZID	57522	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	998	ENTREZID	6091	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	57522	ENTREZID	998	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	80728	ENTREZID	5879	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6091	ENTREZID	9901	undirected	Binding
ENTREZID	6091	ENTREZID	23380	undirected	Binding
ENTREZID	6091	ENTREZID	9353	undirected	Binding
ENTREZID	6091	ENTREZID	998	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6091	ENTREZID	5879	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6091	ENTREZID	57522	undirected	Binding
ENTREZID	6091	ENTREZID	80728	undirected	Binding
