src_type	src	dest_type	dest	direction	type
ENTREZID	4803	ENTREZID	4804	undirected	Binding
ENTREZID	4803	ENTREZID	5599	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	4803	ENTREZID	23421	undirected	Binding
ENTREZID	4804	ENTREZID	5599	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	7314	ENTREZID	23421	undirected	Binding
ENTREZID	7314	ENTREZID	8878	undirected	Binding
ENTREZID	7316	ENTREZID	23421	undirected	Binding
ENTREZID	7316	ENTREZID	8878	undirected	Binding
ENTREZID	5663	ENTREZID	4803	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5663	ENTREZID	4804	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5663	ENTREZID	23421	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5663	ENTREZID	83464	undirected	Binding
ENTREZID	5663	ENTREZID	23385	undirected	Binding
ENTREZID	5663	ENTREZID	51107	undirected	Binding
ENTREZID	5663	ENTREZID	7189	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5664	ENTREZID	4803	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5664	ENTREZID	4804	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5664	ENTREZID	23421	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	5664	ENTREZID	83464	undirected	Binding
ENTREZID	5664	ENTREZID	23385	undirected	Binding
ENTREZID	5664	ENTREZID	51107	undirected	Binding
ENTREZID	5664	ENTREZID	7189	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	6233	ENTREZID	23421	undirected	Binding
ENTREZID	6233	ENTREZID	8878	undirected	Binding
ENTREZID	7311	ENTREZID	23421	undirected	Binding
ENTREZID	7311	ENTREZID	8878	undirected	Binding
ENTREZID	23421	ENTREZID	4804	undirected	Binding
ENTREZID	23421	ENTREZID	5599	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	23421	ENTREZID	5663	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	23421	ENTREZID	5664	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	23421	ENTREZID	8878	undirected	Binding
ENTREZID	23421	ENTREZID	83464	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	23421	ENTREZID	23385	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	23421	ENTREZID	51107	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	23421	ENTREZID	55851	directed	Control(In: ACTIVATION of BiochemicalReaction)
ENTREZID	8878	ENTREZID	7314	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8878	ENTREZID	7316	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8878	ENTREZID	6233	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8878	ENTREZID	7311	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	8878	ENTREZID	23421	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	83464	ENTREZID	4803	directed	Control(Out: ACTIVATION of BiochemicalReaction)
ENTREZID	83464	ENTREZID	4804	directed	Control(Out: ACTIVATION of BiochemicalReaction)
